SUBSYSTEM	Rxn.name	HMDB.ID	N_met	hit_n	hit_HMDB_ID	ES	pvalue_nominal	NES	FDR_pri	FDR
Galactose metabolism	MAR03944;MAR04128;MAR04130;MAR04131;MAR04303;MAR04414;MAR04415;MAR04416;MAR04831;MAR04832;MAR07674;MAR08761;MAR08764;MAR08766;MAR08767;MAR01472;MAR20034;MAR04132;MAR08762;MAR01038	HMDB0000285;HMDB0000302;HMDB0000538;HMDB0000143;HMDB0002111;HMDB0000258;HMDB0000186;HMDB0000902;HMDB0000122;HMDB0003418;HMDB0000221;HMDB0000250;HMDB0001341;HMDB0000660;HMDB0000131;HMDB0001487;HMDB0000295;HMDB0001051;HMDB0000107;HMDB0000217	20	12	HMDB0001341;HMDB0000660;HMDB0000295;HMDB0001487;HMDB0000221;HMDB0000902;HMDB0000250;HMDB0002111;HMDB0000217;HMDB0000538;HMDB0000302;HMDB0000122	0.4711227489928091	0.17572463768115942	1.2949858941802759	0.6073973694406343	0.6073973694406343
Folate metabolism	MAR03925;MAR03972;MAR04332;MAR04333;MAR04335;MAR04336;MAR04338;MAR04340;MAR04440;MAR04442;MAR04444;MAR04446;MAR04448;MAR04654;MAR04655;MAR04656;MAR04665;MAR09726;MAR04666;MAR07145;MAR07147;MAR07910;MAR07911;MAR07912;MAR07913;MAR07919;MAR07921;MAR07922;MAR07925;MAR08106;MAR08107;MAR08108;MAR08109;MAR08110;MAR08113;MAR08114;MAR08115;MAR08116;MAR08117;MAR08135;MAR08136;MAR08137;MAR08138;MAR08139;MAR08140;MAR08141;MAR08142;MAR08143;MAR08144;MAR08758;MAR04503;MAR04505;MAR08132;MAR08133	HMDB0001487;HMDB0001426;HMDB0001846;HMDB0000221;HMDB0002111;HMDB0000217;HMDB0000538;HMDB0000142;HMDB0000121;HMDB0001562;HMDB0000148;HMDB0001273;HMDB0006559;HMDB0000902;HMDB0001967;HMDB0001341;HMDB0001396;HMDB0000250	18	11	HMDB0000250;HMDB0000221;HMDB0001562;HMDB0001487;HMDB0000217;HMDB0000148;HMDB0001341;HMDB0000902;HMDB0001967;HMDB0002111;HMDB0000538	0.4252437614661941	0.30286738351254483	1.142174639428243	0.6100850350441335	0.6100850350441335
Fatty acid biosynthesis	MAR00709;MAR02150;MAR02151;MAR02172;MAR02177;MAR02182;MAR02248;MAR02253;MAR02258;MAR00144;MAR00145;MAR00146;MAR00147;MAR00148;MAR00149;MAR00150;MAR00151;MAR00152;MAR00181;MAR00186;MAR00205;MAR00218;MAR00743;MAR00745;MAR00747;MAR00749;MAR01012;MAR01019;MAR01024;MAR01031;MAR01032;MAR01036;MAR01471;MAR02185;MAR02323;MAR02327;MAR02329;MAR02487;MAR02488;MAR02494;MAR02496;MAR02498;MAR02500;MAR02502;MAR02504;MAR02506;MAR02507;MAR02508;MAR02519;MAR02521;MAR02525;MAR03604;MAR03605;MAR03606;MAR03607;MAR03609;MAR03610;MAR03612;MAR03615;MAR03617;MAR03618;MAR03619;MAR03620;MAR03621;MAR03745;MAR03749;MAR09938;MAR11305;MAR02322;MAR02325;MAR02523;MAR03608;MAR03611;MAR03616;MAR03623;MAR03624	HMDB0002111;HMDB0001338;HMDB0001206;HMDB0001175;HMDB0001487;HMDB0001377;HMDB0006290;HMDB0001114;HMDB0001322;HMDB0006529;HMDB0001064;HMDB0003947;HMDB0006267;HMDB0006368;HMDB0006523;HMDB0001070;HMDB0006404;HMDB0003571;HMDB0001521;HMDB0000217;HMDB0000221;HMDB0004258;HMDB0006498;HMDB0006532;HMDB0000220;HMDB0001423;HMDB0000638;HMDB0000806;HMDB0000910;HMDB0000826;HMDB0002259;HMDB0000902;HMDB0001967;HMDB0000827;HMDB0002212;HMDB0000944;HMDB0002003	37	8	HMDB0000826;HMDB0000221;HMDB0000902;HMDB0001967;HMDB0000217;HMDB0001377;HMDB0001487;HMDB0002111	0.468756468462463	0.32082551594746717	1.1334129044620134	0.6108788301116969	0.6108788301116969
Tyrosine metabolism	MAR03935;MAR04681;MAR04682;MAR04683;MAR04685;MAR04686;MAR04687;MAR04702;MAR04703;MAR04704;MAR06988;MAR07689;MAR07701;MAR08094;MAR08529;MAR08530;MAR08533;MAR08534;MAR08535;MAR08537;MAR08541;MAR08542;MAR08543;MAR08544;MAR08630;MAR08540;MAR09733;MAR09734;MAR01515;MAR01816;MAR02536;MAR02538;MAR02539;MAR02589;MAR02595;MAR02597;MAR02615;MAR02617;MAR02619;MAR02627;MAR02628;MAR02631;MAR02632;MAR02637;MAR02995;MAR03046;MAR03154;MAR03155;MAR03159;MAR03161;MAR03391;MAR03392;MAR03599;MAR03613;MAR03614;MAR04015;MAR11224;MAR11225;MAR11458;MAR11462;MAR11463;MAR11467;MAR11468;MAR11470;MAR12001;MAR12002;MAR12003;MAR12004;MAR12005;MAR12012;MAR12014;MAR12015;MAR12017;MAR12018;MAR12019;MAR12020;MAR12021;MAR12023;MAR12024;MAR11464;MAR12022	HMDB0001426;HMDB0000125;HMDB0000159;HMDB0002111;HMDB0001377;HMDB0000902;HMDB0000221;HMDB0000209;HMDB0000130;HMDB0003125;HMDB0000073;HMDB0001134;HMDB0000216;HMDB0000164;HMDB0000265;HMDB0000306;HMDB0000158;HMDB0000675;HMDB0001253;HMDB0001430;HMDB0000935;HMDB0001229;HMDB0004058;HMDB0001487;HMDB0004366;HMDB0001206;HMDB0001434;HMDB0000208;HMDB0003791;HMDB0000574;HMDB0001967;HMDB0000217;HMDB0000152;HMDB0000061;HMDB0002062;HMDB0006409;HMDB0002281;HMDB0000181;HMDB0000051;HMDB0001448;HMDB0000295;HMDB0004067;HMDB0001423;HMDB0000148;HMDB0000123	45	20	HMDB0000902;HMDB0000123;HMDB0000158;HMDB0001430;HMDB0000295;HMDB0000221;HMDB0000148;HMDB0001377;HMDB0004067;HMDB0003125;HMDB0001253;HMDB0000217;HMDB0001967;HMDB0000208;HMDB0000675;HMDB0000164;HMDB0002111;HMDB0001487;HMDB0000574;HMDB0000051	0.37711031721942095	0.2543859649122807	1.162905856822494	0.6110273152629088	0.6110273152629088
Ubiquinone synthesis	MAR00040;MAR00041;MAR00047;MAR00048;MAR00131;MAR00132;MAR00133;MAR00134;MAR00135;MAR01724	HMDB0000707;HMDB0001487;HMDB0001377;HMDB0001423;HMDB0002111;HMDB0000902;HMDB0001185;HMDB0000221;HMDB0000538;HMDB0000755;HMDB0001206;HMDB0000500;HMDB0000939;HMDB0000217;HMDB0000045;HMDB0000250	16	11	HMDB0001377;HMDB0002111;HMDB0000045;HMDB0001487;HMDB0000538;HMDB0000939;HMDB0000217;HMDB0000221;HMDB0001185;HMDB0000250;HMDB0000902	0.4671122225268527	0.2060931899641577	1.2546303618837384	0.6119260367578855	0.6119260367578855
Lysine metabolism	MAR04239;MAR04241;MAR04288;MAR04596;MAR04597;MAR04599;MAR04667;MAR04668;MAR04737;MAR04739;MAR04740;MAR06415;MAR06974;MAR06975;MAR06976;MAR06977;MAR06978;MAR06979;MAR06981;MAR06982;MAR06983;MAR06984;MAR08017;MAR08018;MAR08019;MAR08021;MAR08025;MAR08026;MAR08027;MAR08029;MAR09935;MAR09940;MAR09952;MAR10358;MAR11513;MAR11514;MAR11515;MAR11520;MAR11521;MAR06980;MAR06985;MAR01371	HMDB0000225;HMDB0001423;HMDB0000902;HMDB0000939;HMDB0000208;HMDB0000182;HMDB0000221;HMDB0000148;HMDB0002111;HMDB0000217;HMDB0001263;HMDB0012130;HMDB0001185;HMDB0001325;HMDB0001377;HMDB0000302;HMDB0012151;HMDB0001084;HMDB0001487;HMDB0000716;HMDB0001206;HMDB0001248;HMDB0001967;HMDB0000510;HMDB0000985;HMDB0000254;HMDB0000123;HMDB0000062;HMDB0000295;HMDB0003125;HMDB0000042;HMDB0001197	32	17	HMDB0001248;HMDB0000295;HMDB0000902;HMDB0003125;HMDB0000148;HMDB0000254;HMDB0000939;HMDB0002111;HMDB0000123;HMDB0001377;HMDB0000217;HMDB0000302;HMDB0001487;HMDB0000208;HMDB0000221;HMDB0001967;HMDB0001185	0.49696428628369876	0.05486725663716814	1.486858537356533	0.613231937627502	0.613231937627502
Leukotriene metabolism	MAR01080;MAR01081;MAR01084;MAR01085;MAR01087;MAR01088;MAR01091;MAR01092;MAR01093;MAR01096;MAR01097;MAR01098;MAR01099;MAR01100;MAR01101;MAR01102;MAR01103;MAR01105;MAR01106;MAR01107;MAR01108;MAR01109;MAR01110;MAR01111;MAR01112;MAR01113;MAR01114;MAR01115;MAR01116;MAR01117;MAR01119;MAR01120;MAR01121;MAR01122;MAR01123;MAR01124;MAR01125;MAR01126;MAR01127;MAR01128;MAR01129;MAR01130;MAR01131;MAR01132;MAR01133;MAR01134;MAR01137;MAR01138;MAR01139;MAR01140;MAR01142;MAR01146;MAR01147;MAR01148;MAR01149;MAR01150;MAR01151;MAR01152;MAR01153;MAR01154;MAR01155;MAR01156;MAR01157;MAR01158;MAR01159;MAR01160;MAR01161;MAR01162;MAR01163;MAR01164;MAR01165;MAR01166;MAR01167;MAR01168;MAR01170;MAR01171;MAR01190;MAR01191;MAR01192;MAR01193;MAR01194;MAR01195;MAR01196;MAR01197;MAR01198;MAR01199;MAR01200;MAR01201;MAR01202;MAR01203;MAR01204;MAR01205;MAR01206;MAR01207;MAR01208;MAR01209;MAR01210;MAR01211;MAR01212;MAR01213;MAR01228;MAR01229;MAR01230;MAR01231;MAR01232;MAR01233;MAR01234;MAR01235;MAR01236;MAR01237;MAR01238;MAR01239;MAR01244;MAR01245;MAR01246;MAR01247;MAR01248;MAR01249;MAR01250;MAR01251;MAR01253;MAR01254;MAR01255;MAR01256;MAR01257;MAR01258;MAR01259;MAR01260;MAR01261;MAR01262;MAR01263;MAR01264;MAR01265;MAR01266;MAR01270;MAR01271;MAR01272;MAR01273;MAR01274;MAR01275;MAR01276;MAR01277;MAR01278;MAR01279;MAR01280;MAR01281;MAR01282;MAR01287;MAR01288;MAR01289;MAR01290;MAR01291;MAR01292;MAR01293;MAR01294;MAR01295;MAR01296;MAR01297;MAR01299;MAR01300;MAR01301;MAR01302;MAR01303;MAR01304;MAR04796;MAR01136;MAR01241	HMDB0002111;HMDB0001337;HMDB0000125;HMDB0001198;HMDB0002200;HMDB0001423;HMDB0000217;HMDB0000221;HMDB0001377;HMDB0001487;HMDB0001085;HMDB0000902;HMDB0001509;HMDB0006059;HMDB0000538;HMDB0001248;HMDB0000123;HMDB0001206;HMDB0004385;HMDB0005087;HMDB0000045;HMDB0000250;HMDB0003125;HMDB0005088;HMDB0001197;HMDB0000148	26	14	HMDB0000217;HMDB0001248;HMDB0000221;HMDB0000902;HMDB0000250;HMDB0000045;HMDB0001509;HMDB0001487;HMDB0000538;HMDB0000148;HMDB0000123;HMDB0001377;HMDB0003125;HMDB0002111	0.40571760387005107	0.27889908256880735	1.1513390613469074	0.619573687293432	0.619573687293432
Arachidonic acid metabolism	MAR00931;MAR00932;MAR00933;MAR00934;MAR00935;MAR00936;MAR00937;MAR00938;MAR00939;MAR00940;MAR00941;MAR00942;MAR00943;MAR00944;MAR00945;MAR00946;MAR00947;MAR00948;MAR00949;MAR00950;MAR00951;MAR00953;MAR00954;MAR00955;MAR00956;MAR00957;MAR00958;MAR00961;MAR00964;MAR00967;MAR00969;MAR00971;MAR00973;MAR00976;MAR00980;MAR00981;MAR00983;MAR00985;MAR00986;MAR00987;MAR00988;MAR00989;MAR00990;MAR00991;MAR00995;MAR00996;MAR00997;MAR00998;MAR00999;MAR01000;MAR01002;MAR01003;MAR01004;MAR01006;MAR01007;MAR01008;MAR01013;MAR01014;MAR01015;MAR01016;MAR01017;MAR01018;MAR01020;MAR01021;MAR01022;MAR01023;MAR01025;MAR01026;MAR01027;MAR01028;MAR01029;MAR01030;MAR01033;MAR01034;MAR01037;MAR01039;MAR01040;MAR01041;MAR01042;MAR01043;MAR01045;MAR01048;MAR01049;MAR01050;MAR01053;MAR01054;MAR01055;MAR01057;MAR01058;MAR01059;MAR01061;MAR01062;MAR01064;MAR01065;MAR01066;MAR01067;MAR01068;MAR01069;MAR01070;MAR01071;MAR01072;MAR01073;MAR01074;MAR01075;MAR01077;MAR01079;MAR03015;MAR03005;MAR03788;MAR03886;MAR03887;MAR03888;MAR03891;MAR03893;MAR03894;MAR03896;MAR03906;MAR03909;MAR03913;MAR03918;MAR03924;MAR03926;MAR03927;MAR03930;MAR03932;MAR03934;MAR03936;MAR20019;MAR00959;MAR00960;MAR00963;MAR00992;MAR00993;MAR00994;MAR01010;MAR01011;MAR01063	HMDB0001043;HMDB0000221;HMDB0001377;HMDB0001197;HMDB0002190;HMDB0002111;HMDB0002232;HMDB0004673;HMDB0004264;HMDB0011134;HMDB0000217;HMDB0003337;HMDB0000902;HMDB0004244;HMDB0004243;HMDB0000125;HMDB0000538;HMDB0001423;HMDB0001487;HMDB0000131;HMDB0006523;HMDB0001085;HMDB0001248;HMDB0001337;HMDB0005082;HMDB0003125;HMDB0004385;HMDB0001977;HMDB0001206;HMDB0000045;HMDB0000250	31	13	HMDB0001248;HMDB0000902;HMDB0003125;HMDB0005082;HMDB0002111;HMDB0001377;HMDB0000538;HMDB0000250;HMDB0000045;HMDB0000217;HMDB0001487;HMDB0004244;HMDB0000221	0.4499596611467787	0.19744058500914077	1.2600597503719444	0.6237492173140238	0.6237492173140238
Glutathione metabolism	MAR03868;MAR03869;MAR03889;MAR03933;MAR03937;MAR04116;MAR04120;MAR04121;MAR04175;MAR04176;MAR04324;MAR04326;MAR04328;MAR04329;MAR04708;MAR08769;MAR08770	HMDB0003337;HMDB0001487;HMDB0000267;HMDB0000538;HMDB0002111;HMDB0003125;HMDB0000125;HMDB0000574;HMDB0000148;HMDB0001049;HMDB0000123;HMDB0000078;HMDB0000161;HMDB0006248;HMDB0000902;HMDB0001341;HMDB0000142	17	9	HMDB0003125;HMDB0001487;HMDB0000148;HMDB0000538;HMDB0002111;HMDB0001341;HMDB0000574;HMDB0000123;HMDB0000902	0.4098768555054255	0.4550561797752809	1.0134849861911206	0.628973714862405	0.628973714862405
C5-branched dibasic acid metabolism	MAR08662;MAR08663;MAR08664;MAR08665;MAR08666;MAR08667;MAR08668;MAR08669;MAR13087	HMDB0001423;HMDB0001273;HMDB0002092;HMDB0001341;HMDB0003377;HMDB0002111;HMDB0006345;HMDB0000749;HMDB0001201;HMDB0000538;HMDB0001206;HMDB0000243;HMDB0001967	13	5	HMDB0001341;HMDB0002111;HMDB0000538;HMDB0006345;HMDB0001967	0.5199618223802328	0.3738140417457306	1.0739600351360743	0.6334176614352947	0.6334176614352947
Metabolism of other amino acids	MAR07128;MAR07129;MAR07130;MAR07132;MAR07133;MAR07134;MAR07135;MAR07136;MAR07137;MAR07138;MAR07139;MAR07140;MAR07141;MAR07620;MAR07647;MAR08689;MAR08690;MAR04009;MAR04011;MAR04013;MAR13083	HMDB0000538;HMDB0000221;HMDB0002111;HMDB0000161;HMDB0001491;HMDB0003966;HMDB0001377;HMDB0000939;HMDB0001310;HMDB0003416;HMDB0003374;HMDB0001396;HMDB0004119;HMDB0000965;HMDB0001487;HMDB0000250;HMDB0001341;HMDB0000217;HMDB0000061;HMDB0000045;HMDB0000005;HMDB0000187;HMDB0000050;HMDB0001185;HMDB0000243;HMDB0003125;HMDB0004225;HMDB0006272;HMDB0001846;HMDB0000902;HMDB0000251	31	14	HMDB0000538;HMDB0000221;HMDB0001377;HMDB0002111;HMDB0001185;HMDB0000045;HMDB0000250;HMDB0001341;HMDB0000902;HMDB0001487;HMDB0000217;HMDB0001491;HMDB0000939;HMDB0003125	0.4567849774256722	0.1688073394495413	1.2962572541345507	0.6341127010096289	0.6341127010096289
Glucocorticoid biosynthesis	MAR01979;MAR01981;MAR01985;MAR01987;MAR01988;MAR01995;MAR01996;MAR01999;MAR02000;MAR02001;MAR01980	HMDB0000902;HMDB0000253;HMDB0000221;HMDB0001377;HMDB0001830;HMDB0000374;HMDB0000015;HMDB0000063;HMDB0000217;HMDB0001487;HMDB0002111;HMDB0000053;HMDB0000042;HMDB0006773	14	6	HMDB0000902;HMDB0001377;HMDB0002111;HMDB0000221;HMDB0001487;HMDB0000217	0.4399692367901181	0.4805194805194805	0.9763782386413754	0.6344544698783322	0.6344544698783322
Biotin metabolism	MAR07661;MAR07662;MAR07663;MAR07668;MAR07669;MAR07671;MAR07672;MAR07673;MAR00073;MAR00074;MAR00086;MAR00091;MAR07670;MAR00092	HMDB0002111;HMDB0000538;HMDB0000030;HMDB0000182;HMDB0000595;HMDB0001206;HMDB0000250;HMDB0000045;HMDB0001341;HMDB0001175	10	5	HMDB0000045;HMDB0000538;HMDB0000250;HMDB0002111;HMDB0001341	0.4911550423304578	0.4459203036053131	1.0144608004176647	0.6385195476724289	0.6385195476724289
Bile acid recycling	MAR01847;MAR01848;MAR01853;MAR01862;MAR01863;MAR01864;MAR01865;MAR01866;MAR01867;MAR01868;MAR01870;MAR01872;MAR01874;MAR01875;MAR01876;MAR01877;MAR01879;MAR01880;MAR01881;MAR01882;MAR01883;MAR01884;MAR01885;MAR01886;MAR01887;MAR01888;MAR01889;MAR01890;MAR01891;MAR01892;MAR01893;MAR01894;MAR01896	HMDB0002111;HMDB0000538;HMDB0000619;HMDB0001423;HMDB0000518;HMDB0000138;HMDB0000588;HMDB0000036;HMDB0000951;HMDB0000637;HMDB0000125;HMDB0000595;HMDB0001448;HMDB0000045;HMDB0001374;HMDB0000250;HMDB0001341	17	5	HMDB0001341;HMDB0000250;HMDB0000045;HMDB0000538;HMDB0002111	0.4911550423304578	0.4459203036053131	1.0144608004176647	0.6385195476724289	0.6385195476724289
Androgen metabolism	MAR01944;MAR01945;MAR01952;MAR01953;MAR01958;MAR01959;MAR01960;MAR01962;MAR01963;MAR01967;MAR01968;MAR01969;MAR01970;MAR01971;MAR01973;MAR01974;MAR01976;MAR01977;MAR01978;MAR01982;MAR02014;MAR02015;MAR02016;MAR02017;MAR02018;MAR02019;MAR02020;MAR02022;MAR02024;MAR02025;MAR03400;MAR03600;MAR03601;MAR03602;MAR03603;MAR01983	HMDB0000221;HMDB0001377;HMDB0000253;HMDB0001134;HMDB0002111;HMDB0000774;HMDB0000363;HMDB0000077;HMDB0000902;HMDB0000053;HMDB0000234;HMDB0002961;HMDB0000899;HMDB0001487;HMDB0001448;HMDB0003818;HMDB0000031;HMDB0000217;HMDB0000061;HMDB0000990;HMDB0000042;HMDB0001032;HMDB0000554;HMDB0000374;HMDB0006278	25	8	HMDB0001487;HMDB0001377;HMDB0000217;HMDB0000554;HMDB0000990;HMDB0002111;HMDB0000221;HMDB0000902	0.4048085679872795	0.48592870544090055	0.9787923701586462	0.6397989547680806	0.6397989547680806
Pentose and glucuronate interconversions	MAR04590;MAR04591;MAR04592;MAR04593;MAR04594;MAR04595;MAR08341;MAR08342;MAR08344;MAR08352;MAR08353;MAR08726;MAR08727;MAR08728;MAR08729;MAR06537	HMDB0000751;HMDB0000221;HMDB0000902;HMDB0002917;HMDB0000217;HMDB0001341;HMDB0000646;HMDB0001487;HMDB0000127;HMDB0006334;HMDB0000538;HMDB0000621;HMDB0002111;HMDB0000935;HMDB0003976;HMDB0001644;HMDB0001851;HMDB0003290;HMDB0001967;HMDB0000295	20	9	HMDB0000902;HMDB0000295;HMDB0002111;HMDB0001341;HMDB0000538;HMDB0000217;HMDB0001487;HMDB0000221;HMDB0001967	0.4503134833416982	0.352059925093633	1.1134709079473633	0.639988496560029	0.639988496560029
Pantothenate and CoA metabolism	MAR03871;MAR04058;MAR04498;MAR04500;MAR04714;MAR04715;MAR04717;MAR04718;MAR04723;MAR04727;MAR04730;MAR04731;MAR04732;MAR04734;MAR07731;MAR08792;MAR01634;MAR08204;MAR08978;MAR08984;MAR11416;MAR04499;MAR04716;MAR04725;MAR04733	HMDB0000538;HMDB0002111;HMDB0001423;HMDB0003426;HMDB0000210;HMDB0000574;HMDB0001341;HMDB0000061;HMDB0001967;HMDB0002991;HMDB0000095;HMDB0000250;HMDB0000045;HMDB0001338	14	8	HMDB0002991;HMDB0002111;HMDB0000045;HMDB0000538;HMDB0001341;HMDB0001967;HMDB0000574;HMDB0000250	0.4253913237507206	0.43151969981238275	1.0285597068488324	0.6413730986434939	0.6413730986434939
Glycerolipid metabolism	MAR00453;MAR00456;MAR00458;MAR00459;MAR00463;MAR00486;MAR00487;MAR00488;MAR00493;MAR00494;MAR00499;MAR00502;MAR00507;MAR00522;MAR00526;MAR00534;MAR00535;MAR00536;MAR00537;MAR00539;MAR00596;MAR00673;MAR00674;MAR00675;MAR00676;MAR00677;MAR00678;MAR04296;MAR04390;MAR05254;MAR07599;MAR00489;MAR00490;MAR00491;MAR00492;MAR00495;MAR00496;MAR00497;MAR00498;MAR00500;MAR00501;MAR00503;MAR00504;MAR00505;MAR00506;MAR00508;MAR00509;MAR00510;MAR00511;MAR00512;MAR00513;MAR00514;MAR00515;MAR00516;MAR00517;MAR00518;MAR00519;MAR00520;MAR00521;MAR00523;MAR00524;MAR00525;MAR00527;MAR00528;MAR00529;MAR00530;MAR00531;MAR00532;MAR00533;MAR00538;MAR00540;MAR00541;MAR00542;MAR00543;MAR00544;MAR00588	HMDB0001051;HMDB0000221;HMDB0002111;HMDB0000902;HMDB0000131;HMDB0000217;HMDB0003571;HMDB0013109;HMDB0001521;HMDB0001338;HMDB0006532;HMDB0001114;HMDB0001322;HMDB0004258;HMDB0006290;HMDB0006267;HMDB0001064;HMDB0006368;HMDB0003947;HMDB0006523;HMDB0006516;HMDB0000538;HMDB0000224;HMDB0001564;HMDB0000139;HMDB0001487;HMDB0001423;HMDB0001341;HMDB0000990;HMDB0000095	30	8	HMDB0002111;HMDB0000217;HMDB0000538;HMDB0001487;HMDB0001341;HMDB0000221;HMDB0000990;HMDB0000902	0.4137819802679015	0.4596622889305816	1.0004893108094595	0.6424021825359514	0.6424021825359514
Nicotinate and nicotinamide metabolism	MAR00712;MAR03992;MAR04228;MAR04251;MAR04252;MAR04253;MAR04254;MAR04255;MAR04257;MAR04259;MAR04260;MAR04261;MAR04263;MAR04264;MAR04265;MAR04267;MAR04268;MAR04269;MAR04270;MAR04276;MAR04278;MAR07142;MAR07143;MAR07623;MAR07625;MAR07627;MAR07676;MAR07677;MAR07678;MAR08788;MAR08790;MAR01542;MAR01554;MAR04262;MAR04662	HMDB0000193;HMDB0000217;HMDB0001487;HMDB0001377;HMDB0000232;HMDB0002111;HMDB0000538;HMDB0001488;HMDB0000229;HMDB0000641;HMDB0000902;HMDB0001185;HMDB0000699;HMDB0000208;HMDB0001967;HMDB0000221;HMDB0000250;HMDB0001341;HMDB0000045;HMDB0000148;HMDB0000939;HMDB0003125	22	17	HMDB0001341;HMDB0000232;HMDB0001185;HMDB0003125;HMDB0000045;HMDB0000902;HMDB0000221;HMDB0001967;HMDB0000208;HMDB0000148;HMDB0000939;HMDB0000217;HMDB0000538;HMDB0001487;HMDB0001377;HMDB0002111;HMDB0000250	0.3596060122039455	0.3433628318584071	1.0758987800281143	0.642806831167168	0.642806831167168
Eicosanoid metabolism	MAR08545;MAR08546;MAR08547;MAR08548;MAR08549;MAR08550;MAR08552;MAR08554;MAR08555;MAR08556;MAR08557;MAR08558;MAR08559;MAR08560;MAR08561;MAR01575;MAR03006;MAR03010;MAR03012;MAR03016;MAR03801;MAR03803;MAR03805;MAR03808;MAR03810;MAR03812;MAR03814;MAR03834;MAR03836;MAR03840;MAR03842;MAR03844;MAR03846;MAR03872;MAR03874;MAR03876;MAR03898;MAR03900;MAR03938;MAR03941;MAR03942;MAR03943;MAR03945;MAR03961;MAR03962;MAR03963;MAR03973;MAR03976;MAR03978;MAR03981;MAR03983;MAR03990;MAR03994;MAR09934;MAR10406;MAR03985	HMDB0001043;HMDB0001377;HMDB0001320;HMDB0000221;HMDB0002111;HMDB0001198;HMDB0000125;HMDB0001337;HMDB0001403;HMDB0001220;HMDB0001509;HMDB0004666;HMDB0000538;HMDB0001423;HMDB0000902;HMDB0002710;HMDB0004244;HMDB0002752;HMDB0002656;HMDB0001139;HMDB0001452;HMDB0000217;HMDB0001442;HMDB0000123;HMDB0000148;HMDB0002200;HMDB0006111;HMDB0006245;HMDB0001381;HMDB0006059;HMDB0000045;HMDB0000250;HMDB0001487	33	13	HMDB0000045;HMDB0001487;HMDB0000221;HMDB0004244;HMDB0001509;HMDB0000148;HMDB0001377;HMDB0000902;HMDB0000250;HMDB0002111;HMDB0000217;HMDB0000538;HMDB0000123	0.38604565479461667	0.3491773308957952	1.0810760017307408	0.6452590525921066	0.6452590525921066
Xenobiotics metabolism	MAR06992;MAR06993;MAR06994;MAR06996;MAR06998;MAR06999;MAR07000;MAR07001;MAR07002;MAR07003;MAR07004;MAR07005;MAR07007;MAR07009;MAR07012;MAR07013;MAR07014;MAR07017;MAR07018;MAR07019;MAR07020;MAR07021;MAR07022;MAR07023;MAR07029;MAR07030;MAR07032;MAR07033;MAR07034;MAR07035;MAR07037;MAR07038;MAR07039;MAR07040;MAR07041;MAR07042;MAR07044;MAR07048;MAR07050;MAR07051;MAR07052;MAR07053;MAR07054;MAR07055;MAR07056;MAR07057;MAR07058;MAR07059;MAR07060;MAR07061;MAR07062;MAR07063;MAR07064;MAR07065;MAR07066;MAR07067;MAR07070;MAR07072;MAR07074;MAR07076;MAR07078;MAR07079;MAR07080;MAR07081;MAR07082;MAR07083;MAR07084;MAR07088;MAR07089;MAR07090;MAR07091;MAR07092;MAR07093;MAR07094;MAR07095;MAR07096;MAR07097;MAR07098;MAR07099;MAR07100;MAR07103;MAR07104;MAR07688;MAR08032;MAR08034;MAR08036;MAR08037;MAR08038;MAR08040;MAR08043;MAR08046;MAR08049;MAR08052;MAR08055;MAR08059;MAR08596;MAR08598;MAR08601;MAR06535;MAR06536;MAR09569;MAR04017;MAR04019;MAR04021;MAR04023;MAR04025;MAR04027;MAR04029;MAR04031;MAR04033;MAR04035;MAR04037;MAR04039;MAR04041;MAR04043;MAR04045;MAR04047;MAR04049;MAR04051;MAR04053;MAR04055;MAR04057;MAR04074;MAR04076;MAR04088;MAR04090;MAR06995;MAR07068;MAR07077;MAR07085;MAR07087	HMDB0000221;HMDB0001377;HMDB0002111;HMDB0000125;HMDB0000217;HMDB0000902;HMDB0001487;HMDB0000935;HMDB0001134;HMDB0006543;HMDB0000638;HMDB0000806;HMDB0000220;HMDB0001218;HMDB0001913;HMDB0003375;HMDB0006525;HMDB0002786;HMDB0000492;HMDB0000295;HMDB0000061;HMDB0001426;HMDB0006492;HMDB0006468;HMDB0002916;HMDB0002059;HMDB0006294;HMDB0006240;HMDB0001875;HMDB0006408;HMDB0003634;HMDB0003667;HMDB0003125	33	9	HMDB0000295;HMDB0006492;HMDB0003125;HMDB0000902;HMDB0000221;HMDB0000217;HMDB0001377;HMDB0001487;HMDB0002111	0.42036781398524875	0.43820224719101125	1.03942553093582	0.6460068643308055	0.6460068643308055
